GUIDELINE	YEAR	STRAIN	REFERENCE_TABLE	WHONET_ORG_CODE	ANTIBIOTIC	ABX_TEST	WHONET_ABX_CODE	METHOD	GUIDELINES	MEDIUM	MINIMUM	MAXIMUM	DATE_ENTERED	DATE_MODIFIED	COMMENTS
CLSI	2013	atcc25285	Table 4E	bfr	Imipenem	IPM_NM	IPM	MIC	CLSI	Broth	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Imipenem	IPM_NM	IPM	MIC	CLSI	Agar	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Linezolid	LNZ_NM	LNZ	MIC	CLSI	Broth	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Linezolid	LNZ_NM	LNZ	MIC	CLSI	Agar	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Meropenem	MEM_NM	MEM	MIC	CLSI	Broth	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Meropenem	MEM_NM	MEM	MIC	CLSI	Agar	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Metronidazole	MTR_NM	MTR	MIC	CLSI	Broth	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Metronidazole	MTR_NM	MTR	MIC	CLSI	Agar	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Mezlocillin	MEZ_NM	MEZ	MIC	CLSI	Agar	16	64	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Moxifloxacin	MFX_NM	MFX	MIC	CLSI	Broth	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Moxifloxacin	MFX_NM	MFX	MIC	CLSI	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Omadacycline	OMC_NM	OMC	MIC	CLSI	Broth	0.12	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Omadacycline	OMC_NM	OMC	MIC	CLSI	Agar	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Penicillin	PEN_NM	PEN	MIC	CLSI	Broth	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Penicillin	PEN_NM	PEN	MIC	CLSI	Agar	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Piperacillin	PIP_NM	PIP	MIC	CLSI	Broth	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Piperacillin	PIP_NM	PIP	MIC	CLSI	Agar	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Piperacillin/Tazobactam	TZP_NM	TZP	MIC	CLSI	Broth	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Piperacillin/Tazobactam	TZP_NM	TZP	MIC	CLSI	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Razupenem	RZM_NM	RZM	MIC	CLSI	Broth	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Razupenem	RZM_NM	RZM	MIC	CLSI	Agar	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Tetracycline	TCY_NM	TCY	MIC	CLSI	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Ticarcillin	TIC_NM	TIC	MIC	CLSI	Agar	16	64	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Enrofloxacin	ENR_ND5	ENR	Disk	CLSI	MH	32	40	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ertapenem	ERT_ND10	ERT	Disk	CLSI	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Faropenem	FAR_ND5	FAR	Disk	CLSI	MH	20	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Fleroxacin	FLE_ND5	FLE	Disk	CLSI	MH	28	34	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Florfenicol	FLR_ND30	FLR	Disk	CLSI	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Fosfomycin	FOS_ND200	FOS	Disk	CLSI	MH	22	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Garenoxacin	GRN_ND5	GRN	Disk	CLSI	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Gatifloxacin	GAT_ND5	GAT	Disk	CLSI	MH	30	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Gemifloxacin	GEM_ND5	GEM	Disk	CLSI	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Gentamicin	GEN_ND10	GEN	Disk	CLSI	MH	19	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Grepafloxacin	GRX_ND5	GRX	Disk	CLSI	MH	28	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Iclaprim	ICL_ND5	ICL	Disk	CLSI	MH	14	22	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Imipenem	IPM_ND10	IPM	Disk	CLSI	MH	26	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Kanamycin	KAN_ND30	KAN	Disk	CLSI	MH	17	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Levofloxacin	LVX_ND5	LVX	Disk	CLSI	MH	29	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Lomefloxacin	LOM_ND10	LOM	Disk	CLSI	MH	27	33	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Loracarbef	LOR_ND30	LOR	Disk	CLSI	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Marbofloxacin	MAR_ND5	MAR	Disk	CLSI	MH	29	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Mecillinam	MEC_ND10	MEC	Disk	CLSI	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Meropenem	MEM_ND10	MEM	Disk	CLSI	MH	28	34	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Mezlocillin	MEZ_ND75	MEZ	Disk	CLSI	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Minocycline	MNO_ND30	MNO	Disk	CLSI	MH	19	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Moxalactam (Latamoxef)	MOX_ND30	MOX	Disk	CLSI	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Moxifloxacin	MFX_ND5	MFX	Disk	CLSI	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Nalidixic acid	NAL_ND30	NAL	Disk	CLSI	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Netilmicin	NET_ND30	NET	Disk	CLSI	MH	22	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Nitrofurantoin	NIT_ND300	NIT	Disk	CLSI	MH	20	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Norfloxacin	NOR_ND10	NOR	Disk	CLSI	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ofloxacin	OFX_ND5	OFX	Disk	CLSI	MH	29	33	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Omadacycline	OMC_ND30	OMC	Disk	CLSI	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Orbifloxacin	ORB_ND10	ORB	Disk	CLSI	MH	29	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Piperacillin	PIP_ND100	PIP	Disk	CLSI	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Piperacillin/Tazobactam	TZP_ND100	TZP	Disk	CLSI	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Plazomicin	PLZ_ND30	PLZ	Disk	CLSI	MH	21	27	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Polymyxin B	POL_ND300	POL	Disk	CLSI	MH	13	19	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Razupenem	RZM_ND10	RZM	Disk	CLSI	MH	21	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922		eco	Razupenem	RZM_ND10	RZM	Disk	CLSI	MH	21	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Rifampin	RIF_ND5	RIF	Disk	CLSI	MH	8	10	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sparfloxacin	SPX_ND5	SPX	Disk	CLSI	MH	30	38	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Spectinomycin	SPT_ND100	SPT	Disk	CLSI	MH	21	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Streptomycin	STR_ND10	STR	Disk	CLSI	MH	12	20	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sulfamethoxazole	SMX_ND200	SMX	Disk	CLSI	MH	15	23	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sulfisoxazole	SOX_ND200	SOX	Disk	CLSI	MH	15	23	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Sulfonamides	SSS_ND200	SSS	Disk	CLSI	MH	15	23	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Tetracycline	TCY_ND30	TCY	Disk	CLSI	MH	18	25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ticarcillin	TIC_ND75	TIC	Disk	CLSI	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ticarcillin/Clavulanic acid	TCC_ND75	TCC	Disk	CLSI	MH	24	30	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Tigecycline	TGC_ND15	TGC	Disk	CLSI	MH	20	27	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Tobramycin	TOB_ND10	TOB	Disk	CLSI	MH	18	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trimethoprim	TMP_ND5	TMP	Disk	CLSI	MH	21	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trimethoprim/sulfamethoxazole	SXT_ND1_2	SXT	Disk	CLSI	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trospectomycin	TRO_ND30	TRO	Disk	CLSI	MH	10	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Trovafloxacin	TVA_ND10	TVA	Disk	CLSI	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ulifloxacin (prulifloxacin)	PRU_ND5	PRU	Disk	CLSI	MH	32	38	2021-01-01	2021-01-01	
CLSI	2013	atcc25922		eco	Ulifloxacin (prulifloxacin)	PRU_ND5	PRU	Disk	CLSI	MH	32	38	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ampicillin/Sulbactam	SAM_NM	SAM	MIC	CLSI	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Carbenicillin	CRB_NM	CRB	MIC	CLSI	MH	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefamandole	MAN_NM	MAN	MIC	CLSI	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefazolin	CZO_NM	CZO	MIC	CLSI	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefditoren	DIT_NM	DIT	MIC	CLSI	MH	0.12	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefepime	FEP_NM	FEP	MIC	CLSI	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefotaxime	CTX_NM	CTX	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefotetan	CTT_NM	CTT	MIC	CLSI	MH	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefoxitin	FOX_NM	FOX	MIC	CLSI	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefprozil	PRO_NM	PRO	MIC	CLSI	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftaroline	CPT_NM	CPT	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftazidime/Avibactam	CZA_NM	CZA	MIC	CLSI	MH	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftibuten	CTB_NM	CTB	MIC	CLSI	MH	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Ceftiofur	TIO_NM	TIO	MIC	CLSI	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftizoxime	CZX_NM	CZX	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ceftriaxone	CRO_NM	CRO	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Cefuroxime	CXM_NM	CXM	MIC	CLSI	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Difloxacin	DIF_NM	DIF	MIC	CLSI	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Doripenem	DOR_NM	DOR	MIC	CLSI	MH	0.015	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Doxycycline	DOX_NM	DOX	MIC	CLSI	MH	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Enoxacin	ENX_NM	ENX	MIC	CLSI	MH	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Enrofloxacin	ENR_NM	ENR	MIC	CLSI	MH	0.008	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ertapenem	ERT_NM	ERT	MIC	CLSI	MH	0.004	0.016	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Faropenem	FAR_NM	FAR	MIC	CLSI	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Finafloxacin	FIN_NM	FIN	MIC	CLSI	MH	0.004	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Fleroxacin	FLE_NM	FLE	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Florfenicol	FLR_NM	FLR	MIC	CLSI	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Fosfomycin	FOS_NM	FOS	MIC	CLSI	MH	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Garenoxacin	GRN_NM	GRN	MIC	CLSI	MH	0.004	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Gatifloxacin	GAT_NM	GAT	MIC	CLSI	MH	0.008	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Gemifloxacin	GEM_NM	GEM	MIC	CLSI	MH	0.004	0.016	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Gentamicin	GEN_NM	GEN	MIC	CLSI	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Grepafloxacin	GRX_NM	GRX	MIC	CLSI	MH	0.004	0.032	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Iclaprim	ICL_NM	ICL	MIC	CLSI	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Imipenem	IPM_NM	IPM	MIC	CLSI	MH	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Kanamycin	KAN_NM	KAN	MIC	CLSI	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Levofloxacin	LVX_NM	LVX	MIC	CLSI	MH	0.008	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Lomefloxacin	LOM_NM	LOM	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Loracarbef	LOR_NM	LOR	MIC	CLSI	MH	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Mecillinam	MEC_NM	MEC	MIC	CLSI	MH	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Meropenem	MEM_NM	MEM	MIC	CLSI	MH	0.008	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Mezlocillin	MEZ_NM	MEZ	MIC	CLSI	MH	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Minocycline	MNO_NM	MNO	MIC	CLSI	MH	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Moxalactam (Latamoxef)	MOX_NM	MOX	MIC	CLSI	MH	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Moxifloxacin	MFX_NM	MFX	MIC	CLSI	MH	0.008	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Nalidixic acid	NAL_NM	NAL	MIC	CLSI	MH	1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Netilmicin	NET_NM	NET	MIC	CLSI	MH	0	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Nitrofurantoin	NIT_NM	NIT	MIC	CLSI	MH	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Norfloxacin	NOR_NM	NOR	MIC	CLSI	MH	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Ofloxacin	OFX_NM	OFX	MIC	CLSI	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 4A	eco	Omadacycline	OMC_NM	OMC	MIC	CLSI	MH	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Orbifloxacin	ORB_NM	ORB	MIC	CLSI	MH	0.015	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Vet	eco	Penicillin/Novobiocin	PNO_NM	PNO	MIC	CLSI	MH	8	5000	2021-01-01	2021-01-01	
