WHONET_ORG_CODE	ORGANISM	TAXONOMIC_STATUS	COMMON	ORGANISM_TYPE	ANAEROBE	MORPHOLOGY	SUBKINGDOM_CODE	FAMILY_CODE	GENUS_GROUP	GENUS_CODE	SPECIES_GROUP	SEROVAR_GROUP	MSF_GRP_CLIN	SCT_CODE	SCT_TEXT	DWC_TAXON_ID	DWC_TAXONOMIC_STATUS	GBIF_TAXON_ID	GBIF_DATASET_ID	GBIF_TAXONOMIC_STATUS	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
aju	Acinetobacter junii	C		-			-		NFR	AC-			NFG-	13879009	Acinetobacter junii	9B6A	ACCEPTED	3223272	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
alw	Acinetobacter lwoffii	C		-			-		NFR	AC-			NFG-	83088009	Acinetobacter lwoffi	9B6B	ACCEPTED	9200754	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ano	Acinetobacter nosocomialis	C		-			-		NFR	AC-	ABX		NFG-	708859003	Acinetobacter nosocomialis	9B6C	ACCEPTED	8240312	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
apa	Acinetobacter parvus	C		-			-		NFR	AC-			NFG-	423516002	Acinetobacter parvus	9B6D	ACCEPTED	3223275	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
apt	Acinetobacter pittii	C		-			-		NFR	AC-	ABX		NFG-	698244000	Acinetobacter pittii	9B6E	ACCEPTED	7437858	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
asd	Acinetobacter schindleri	C		-			-		NFR	AC-			NFG-	423732001	Acinetobacter schindleri	9B6H	ACCEPTED	3223265	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aug	Acinetobacter ursingii	C		-			-		NFR	AC-			NFG-	424791004	Acinetobacter ursingii	9B6N	ACCEPTED	3223277	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
acr	Acremonium sp.	C		f						ACR				115992008	Acremonium species	N93	ACCEPTED	2560451	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Acremonium
acb	Actinobacillus sp.	C		-			-			ACB			OTH	116383006	Actinobacillus species	NNS	ACCEPTED	3222263	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
aeq	Actinobacillus equuli	C		-			-			ACB			OTH	27165004	Actinobacillus equuli	9TKT	ACCEPTED	3222277	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
ali	Actinobacillus lignieresii	C		-			-			ACB			OTH	78043002	Actinobacillus lignieresii	9TKW	ACCEPTED	3222268	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
apl	Actinobacillus pleuropneumoniae	C		-			-			ACB			OTH	116382001	Actinobacillus pleuropneumoniae	9TKZ	ACCEPTED	3222283	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
asu	Actinobacillus suis	C		-			-			ACB			OTH	112272003	Actinobacillus suis	9TL7	ACCEPTED	3222265	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
aur	Actinobacillus ureae	C		-			-			ACB			OTH	1839009	Actinobacillus ureae	9TL8	ACCEPTED	3222280	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
acm	Actinomadura sp.	C		+			+			ACM			OTH	41571004	Actinomadura	NQB	ACCEPTED	3225210	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Thermomonosporaceae	Actinomadura
amu	Actinomadura madurae	C		+			+			ACM			OTH	90285002	Actinomadura madurae	9U54	ACCEPTED	3225479	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Thermomonosporaceae	Actinomadura
act	Actinomyces sp.	C		a	X		+			ACT			OTH	40560008	Actinomyces	NQH	ACCEPTED	9407921	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
abo	Actinomyces bovis	C		a	X		+			ACT			OTH	59806008	Actinomyces bovis	9U7L	ACCEPTED	3225750	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
agg	Actinomyces georgiae	C		a	X		+			ACT			OTH	113415003	Actinomyces georgiae	9U7W	ACCEPTED	3225751	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
age	Actinomyces gerencseriae	C		a	X		+			ACT			OTH	113416002	Actinomyces gerencseriae	9U7X	ACCEPTED	3225772	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
ais	Actinomyces israelii	C		a	X		+			ACT			OTH	46369004	Actinomyces israelii	9U87	ACCEPTED	3225777	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
ame	Actinomyces meyeri	C		a	X		+			ACT			OTH	3174002	Actinomyces meyeri	9U8B	ACCEPTED	9771710	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
ane	Actinomyces naeslundii	C		a	X		+			ACT			OTH	8940004	Actinomyces naeslundii	9U8C	ACCEPTED	3225752	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
aat	Actinomyces neuii ss. anitratus	C		a	X		+			ACT			OTH	113419009	Actinomyces neuii ss anitratus	5FEFB	ACCEPTED	3225770	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
anu	Actinomyces neuii ss. neuii	C		a	X		+			ACT			OTH	113420003	Actinomyces neuii ss neuii	5FEFC	ACCEPTED	7234553	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
aod	Actinomyces odontolyticus	C		a	X		+			ACT			OTH	12069003	Actinomyces odontolyticus	9U8G	ACCEPTED	3225781	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
atc	Actinomyces turicensis	C		+			+			ACT			OTH	113422006	Actinomyces turicensis	9U8T	ACCEPTED	9132981	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
avs	Actinomyces viscosus	C		a	X		+			ACT			OTH	33529006	Actinomyces viscosus	9U8X	ACCEPTED	3225779	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Actinomyces
aec	Aerococcus sp.	C		+			+			AEC			OTH	131206005	Aerococcus species	PS3	ACCEPTED	3227021	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
aun	Aerococcus urinae	C		+			+			AEC			OTH	243230001	Aerococcus urinae	AE6P	ACCEPTED	3227026	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
avi	Aerococcus viridans	C		+			+			AEC			OTH	78803006	Aerococcus viridans	AE6S	ACCEPTED	3227022	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
aer	Aeromonas sp.	C		-			-			AER			AVPV	131207001	Aeromonas species	PS9	ACCEPTED	3222380	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
acv	Aeromonas caviae	C		-			-			AER			AVPV	88529008	Aeromonas	AE8U	ACCEPTED	3222881	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aeu	Aeromonas eucrenophila	C		-			-			AER			AVPV	115030004	Aeromonas eucrenophilia	AE8Z	ACCEPTED	3222880	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aeh	Aeromonas hydrophila	C		-			-			AER			AVPV	85823000	Aeromonas hydrophila	AE93	ACCEPTED	3222868	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aja	Aeromonas jandaei	C		-			-			AER			AVPV	88529008	Aeromonas	AE95	ACCEPTED	8912746	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
amd	Aeromonas media	C		-			-			AER			AVPV	65192005	Aeromonas media	AE96	ACCEPTED	3222875	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
asa	Aeromonas salmonicida	C		-			-			AER			AVPV	30334005	Aeromonas salmonicida	AE9C	ACCEPTED	3222886	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
ash	Aeromonas schubertii	C		-			-			AER			AVPV	115039003	Aeromonas schubertii	AE9E	ACCEPTED	3222867	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
aso	Aeromonas sobria	C		-			-			AER			AVPV	43731003	Aeromonas sobria	AE9H	ACCEPTED	3222884	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
ave	Aeromonas veronii	C		-			-			AER			AVPV	9281006	Aeromonas veronii	AE9M	ACCEPTED	3222883	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
afi	Afipia sp.	C		-			-			AFI			OTH	114241001	Afipia species	PYN	ACCEPTED	3221016	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
afo	Afipia broomeae	C		-			-			AFI			OTH	114235008	Afipia broomae	AGMA	ACCEPTED	3221019	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
afd	Afipia clevelandensis	C		-			-			AFI			OTH	114236009	Afipia clevelandensis	AGMB	ACCEPTED	3221018	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
apf	Afipia felis	C		-			-			AFI			OTH	114237000	Afipia felis	AGMC	ACCEPTED	3221020	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
agt	Aggregatibacter sp.	C		-			-			AGT	HAK		OTH			QPX	ACCEPTED	3222246	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
hac	Aggregatibacter actinomycetemcomitans	C		-			-			AGT	HAK		OTH	113766007	Haemophilus actinomycetemcomitans	AWJ8	ACCEPTED	3222247	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
hap	Aggregatibacter aphrophilus	C		-			-			AGT	HAK		OTH	46143000	Haemophilus aphrophilus	AWJ9	ACCEPTED	3222250	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
hse	Aggregatibacter segnis	C		-			-			AGT	HAK		OTH	6520007	Haemophilus segnis	AWJA	ACCEPTED	3222253	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
aje	Ajellomyces sp.	C		f						AJE				27728005	Ajellomyces	R8M	ACCEPTED	2588641	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces
ajc	Ajellomyces capsulatus	C		f						AJE				62969002	Ajellomyces capsulatus	BDKS	ACCEPTED	3469214	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomyces
alc	Alcaligenes sp.	C		-			-		NFR	ALC			OTH	131201000	Alcaligenes species	RKA	ACCEPTED	3219793	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
alo	Alloiococcus sp.	C		+			+			ALO			OTH	396453006	Alloiococcus	SCZ	ACCEPTED	3227156	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus
alt	Alternaria sp.	C		f						ALT				75059003	Alternaria	SYV	ACCEPTED	7388975	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
aal	Alternaria alternata	C		f						ALT				36703000	Alternaria alternata	C9MM	ACCEPTED	2616163	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
alm	Alteromonas sp.	C		-			-			ALM			OTH	425811001	Alteromonas	SZ3	ACCEPTED	3222173	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
aly	Alysiella sp.	C		-			-			ALY			OTH	131211007	Alysiella species	T59	ACCEPTED	3220193	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Alysiella
anp	Anaerobiospirillum sp.	C		a	X		-			ANP			OTH	131212000	Anaerobiospirillum species	UX2	ACCEPTED	3222903	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum
asn	Anaerobiospirillum succiniciproducens	C		a	X		-			ANP			OTH	55757006	Anaerobiospirillum	DD2A	ACCEPTED	3222904	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum
arh	Anaerorhabdus sp.	C		a	X		-			ARH			OTH	131213005	Anaerorhabdus species	UXF	ACCEPTED	3228345	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Anaerorhabdus
anv	Anaerovibrio sp.	C		a	X		+			ANV			OTH	131214004	Anaerovibrio species	UXM	ACCEPTED	3226283	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerovibrio
aas	Anaplasma sp.	C		-			-			ANA			OTH	3351007	Genus Anaplasma	V5T	ACCEPTED	3221426	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma
aap	Anaplasma phagocytophilum	C		-			-			ANA			OTH	420364006	Anaplasma phagocytophilum	DFSU	ACCEPTED	8315208	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma
any	Ancylostoma sp.	C		w						ANY				17113000	Ancylostoma			2283489	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Strongylida	Ancylostomatidae	Ancylostoma
acu	Ancylostoma caninum	C		w						ANY				370595003	Neospora caninum			4558927	a43ec6d8-7b8a-4868-ad74-56b824c75698	accepted	Animalia	Nematoda	Secernentea	Strongylida	Ancylostomatidae	Ancylostoma
ang	Angiostrongylus sp.	C		w						ANG				417871007	Angiostrongylus sp.			5430007	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Strongylida	Metastrongylidae	Angiostrongylus
acs	Angiostrongylus cantonensis	C		w						ANG				48708001	Angiostrongylus cantonensis			5890402	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Strongylida	Metastrongylidae	Angiostrongylus
aco	Angiostrongylus costaricensis	C		w						ANG				72966005	Angiostrongylus costaricensis			7034925	4cec8fef-f129-4966-89b7-4f8439aba058	accepted	Animalia	Nematoda	Secernentea	Strongylida	Metastrongylidae	Angiostrongylus
ank	Anisakis sp.	C		w						ANK				418007006	Anisakis sp.			2284294	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Ascaridida	Anisakidae	Anisakis
aph	Aphanoascus sp.	C		f						APH				44312001	Aphanoascus	Y9N	ACCEPTED	2596285	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Aphanoascus
afn	Aphanoascus fulvescens	C		f						APH				48136002	Aphanoascus fulvescens	FB7L	ACCEPTED	2596294	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Aphanoascus
arb	Arcanobacterium sp.	C		+			+			ARB	COF		OTH	131216002	Arcanobacterium species	ZUZ	ACCEPTED	3225736	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Arcanobacterium
ahe	Arcanobacterium haemolyticum	C		+			+			ARB	COF		OTH	44723000	Arcanobacterium haemolyticum	G7CH	ACCEPTED	3225738	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Actinomycetaceae	Arcanobacterium
arc	Arcobacter sp.	C		-			-			ARC			OTH	131407003	Arcobacter species	32A5	ACCEPTED	3223371	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
abu	Arcobacter butzleri	C		-			-			ARC			OTH	114207009	Arcobacter butzleri	GA98	ACCEPTED	3223377	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
acy	Arcobacter cryaerophilus	C		-			-			ARC			OTH	7858008	Arcobacter cryaerophilus	GA9A	ACCEPTED	3223372	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
ant	Arcobacter nitrofigilis	C		-			-			ARC			OTH	408629003	Arcobacter nitrofigilis	GA9H	ACCEPTED	3223379	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
arr	Arthrinium sp.	C		f						ARR				415874003	Arthrinium species	33BN	ACCEPTED	2569332	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium
